tweet,created_at,tokens
kang dedi mulyadi tahun chaos berisik lovely runner episode ahaha capek banget nontonnya pause resume ketawa nih scene komedi jago,Tue May 13 12:59:19 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tahun', 'chaos', 'berisik', 'lovely', 'runner', 'episode', 'ahaha', 'capek', 'banget', 'nontonnya', 'pause', 'resume', 'ketawa', 'nih', 'scene', 'komedi', 'jago']"
kang dedi mulyadi tastefully yours ep park jihoon cameo muncul male lead drama lovely jogger parodi lovely runner cerita doi ryu eunjae status appa muda anak nyium cewek bjiir expect bnget woy cameonya luar nalar hahaha,Tue May 13 15:23:24 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tastefully', 'yours', 'ep', 'park', 'jihoon', 'cameo', 'muncul', 'male', 'lead', 'drama', 'lovely', 'jogger', 'parodi', 'lovely', 'runner', 'cerita', 'doi', 'ryu', 'eunjae', 'status', 'appa', 'muda', 'anak', 'nyium', 'cewek', 'bjiir', 'expect', 'bnget', 'woy', 'cameonya', 'luar', 'nalar', 'hahaha']"
spill kang dedi mulyadi adaptasi webtoon andal rekomen guys ill go first see you in my life,Mon May 12 14:00:04 +0000 2025,"['spill', 'kang', 'dedi', 'mulyadi', 'adaptasi', 'webtoon', 'andal', 'rekomen', 'guys', 'ill', 'go', 'first', 'see', 'you', 'in', 'my', 'life']"
kang dedi mulyadi haha hihi salting salting drakornya,Sat May 17 03:37:17 +0000 2025,"['kang', 'dedi', 'mulyadi', 'haha', 'hihi', 'salting', 'salting', 'drakornya']"
kang dedi mulyadi pesona cewek tahi lalat hidung,Wed May 21 05:34:23 +0000 2025,"['kang', 'dedi', 'mulyadi', 'pesona', 'cewek', 'tahi', 'lalat', 'hidung']"
kang dedi mulyadi sender ken banget go younjung ambil project film film debut bagus banget,Thu May 22 02:57:26 +0000 2025,"['kang', 'dedi', 'mulyadi', 'sender', 'ken', 'banget', 'go', 'younjung', 'ambil', 'project', 'film', 'film', 'debut', 'bagus', 'banget']"
kang dedi mulyadi resident playbook namkyung bener gambar kalimat utara kim junwan hospital playlist kerja sedih the best character development in resplay goes to princess pyo namkyung,Sun May 18 15:59:57 +0000 2025,"['kang', 'dedi', 'mulyadi', 'resident', 'playbook', 'namkyung', 'bener', 'gambar', 'kalimat', 'utara', 'kim', 'junwan', 'hospital', 'playlist', 'kerja', 'sedih', 'the', 'best', 'character', 'development', 'in', 'resplay', 'goes', 'to', 'princess', 'pyo', 'namkyung']"
kang dedi mulyadi resident playbook coba iseng cek jurnal beneran plekketiplek nama afiliasi ganti yonsei yulje sih izin authornya ya,Wed May 14 14:38:59 +0000 2025,"['kang', 'dedi', 'mulyadi', 'resident', 'playbook', 'coba', 'iseng', 'cek', 'jurnal', 'beneran', 'plekketiplek', 'nama', 'afiliasi', 'ganti', 'yonsei', 'yulje', 'sih', 'izin', 'authornya', 'ya']"
dah bikin nang kali gubernur jawa barat dedi mulyadi sih ngena banget,Thu May 22 00:33:14 +0000 2025,"['dah', 'bikin', 'nang', 'kali', 'gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'sih', 'ngena', 'banget']"
provinsi jawa barat catat anak sekolah tinggi indonesia total capai data kemendikbud november bijak gubernur dedi mulyadi alokasi dana rp miliar program didik karakter bas,Mon May 12 01:29:53 +0000 2025,"['provinsi', 'jawa', 'barat', 'catat', 'anak', 'sekolah', 'tinggi', 'indonesia', 'total', 'capai', 'data', 'kemendikbud', 'november', 'bijak', 'gubernur', 'dedi', 'mulyadi', 'alokasi', 'dana', 'rp', 'miliar', 'program', 'didik', 'karakter', 'bas']"
